Tiempo,Loudness
0.0,77.043
0.4671485424041748,76.455
0.9274299144744873,75.638
1.3919804096221924,75.447
1.8559620380401611,74.842
2.321031332015991,72.681
2.7899670600891113,71.798
3.2499420642852783,66.085
3.7139463424682617,64.406
4.180942535400391,62.505
4.649930238723755,60.221
5.107346534729004,56.306
5.581342458724976,53.424
6.037017822265625,52.835
6.499581575393677,53.528
6.964910507202148,54.894
7.439322233200073,56.357
7.902331352233887,56.905
8.357983112335205,57.381
8.821292161941528,58.098
9.288890838623047,58.953
9.750312089920044,59.252
10.216882944107056,59.431
10.687739372253418,59.082
11.143917083740234,59.195
11.60999608039856,59.672
12.072875499725342,59.554
12.536294937133789,59.827
13.007279396057129,59.006
13.465275526046753,59.496
13.929851293563843,59.971
14.419452428817749,60.271
14.858843326568604,60.084
15.322839498519897,59.639
15.789264440536499,59.668
16.25126314163208,60.247
16.716773748397827,60.781
17.180243968963623,60.754
17.655871629714966,60.608
18.1142361164093,60.262
18.57382035255432,60.618
19.037753343582153,60.987
19.508232593536377,60.321
19.96773600578308,60.149
20.431796073913574,59.351
20.897825956344604,59.435
21.360787868499756,58.758
21.82578420639038,57.637
22.28920078277588,56.538
22.754196643829346,53.691
23.219945907592773,50.561
23.683159112930298,49.334
24.14684534072876,47.388
24.614189386367798,40.994
25.075445413589478,36.165
25.540802240371704,32.627
26.004769563674927,31.755
26.469624996185303,31.756
26.943748712539673,31.891
27.39874505996704,32.807
27.86512279510498,33.093
28.33273720741272,34.093
28.791157007217407,36.981
29.25572943687439,37.757
29.732717037200928,38.949
30.1847243309021,39.178
30.648180961608887,39.489
31.11813759803772,40.205
31.581129789352417,41.146
32.042128801345825,41.368
32.507113456726074,41.058
32.97111773490906,40.994
33.443705797195435,41.458
33.90010166168213,41.938
34.36467790603638,41.612
34.845807790756226,41.394
35.29348874092102,41.036
35.757665395736694,41.198
36.22408199310303,41.555
36.68966579437256,41.345
37.150864362716675,41.497
37.61507844924927,40.594
38.07931137084961,40.828
38.54864168167114,41.388
39.00864934921265,41.683
39.4714195728302,41.779
39.943650245666504,41.481
40.40049386024475,41.55
40.866050720214844,41.635
41.33298969268799,42.027
41.803622245788574,41.913
42.267030477523804,41.496
42.723246812820435,40.847
43.187602043151855,41.282
43.663612842559814,41.966
44.11670756340027,41.744
44.581010580062866,41.736
45.04979181289673,41.29
45.509507179260254,41.328
45.974523067474365,41.582
